Application Number,Type of Tax Credit Funding,Construction Type,Developer,Housing Type,Project Address,Project Name,Project City,Project Zip Code,Project Phone Number,Project County,California Assembly District,California Senate District,Federal Congressional District,Census Tract,Assessor's Parcel Number (APN),Application Stage,Placed in Service (PIS) Date ,Last Building PIS Date,Total Units,Low Income Units,Number of SRO/Studio Units,Number of 1 Bedroom Units,Number of 2 Bedroom Units,Number of 3 Bedroom Units,Number of 4 Bedroom Units,Number of 5 Bedroom Units,Number of 6 Bedroom Units,Units at or below 20% AMI,Units at or below 30% AMI,Units at 35% AMI,Units at 40% AMI,Units at 45% AMI,Units at 50% AMI,Units at 55% AMI,Units at 60% AMI,Units at 70% AMI,Units at 80% AMI,Owner or Applicant Name,Owner/Applicant Contact,Owner/Applicant Address,Owner/Applicant City,Owner/Applicant State,Owner/Applicant Zip,Owner/Applicant Phone,Owner/Applicant Fax,General Partner (1),General Partner (2),General Partner (3),General Partner (4),General Partner (5),Management Company,Management Company Contact,Management Company Address,Management Company City,Management Company State,Management Company Zip,Management Company Phone,Management Company Fax,Annual Federal Award,Total State Award,,,
CA-1990-011,9 %,New Construction,"CKMP, Inc",Large Family,"473 North Los Robles Avenue, Pasadena, CA 91101",Villa Los Robles,Pasadena,91101,213-272-8953,Los Angeles,41,25,27,4619.01,,Extended,1/23/92,01/23/92,8,8,0,0,0,0,0,0,0,,,,,,,,,,,Villa Los Robles Partners LP,Ana Ponce,2320 W. Olympic Blvd.,Los Angeles,CA,90006,3232311107,3232320094,"Robles & Villa, Inc.",,,,,HDSI Management Inc.,Noel Sweitzer,3460 South Broadway,Los Angeles,CA,90007,3232311104,3232320094,"$73,349","$357,576",,,
CA-1990-012,9 %,New Construction,New Economics for Women,Large Family,"379 South Loma Drive, Los Angeles, CA 90017     ",Casa Loma Apartments,Los Angeles,90017,(213) 484-9805,Los Angeles,53,24,34,2091.04,,Extended,5/24/93,05/24/93,110,110,0,0,0,0,0,0,0,,,,,,,,,,,379 Loma Limited Partnership,Maggie Cervantes,303 South Loma Drive,Los Angeles,CA,90017,2134832060,2134837848,New Economics for Women,,,,,"New Capital, LLC",Sandra Villalobos,303 South Loma Drive,Los Angeles,CA,90017,2134841008,2134837848,"$1,516,495",$0,,,
CA-1990-014,9 %,New Construction,"S.P.G. Housing, Inc.",Large Family,"16716 San Luis Drive, Morgan Hill, CA 95037",San Pedro Gardens,Morgan Hill,95037,(408) 264-3019,Santa Clara,30,17,19,5123.10,,Extended,8/17/92,08/17/92,20,17,0,0,0,0,0,0,0,,,,,,,,,,,San Pedro Gardens Asc. a CA LP,Sandra Alcoba,505 Julian Street,San Jose,CA,95110,4089754671,4089753871,SPG Housing Inc.,,,,,"FPI Management, Inc.",Karen Murphy,800 Iron Point Road,Folsom,CA,95630,9163575300,9163575320,"$277,540",$0,,,
CA-1990-018,9 %,New Construction,"Housing Partners, Inc.",Senior,"12435 Sixth Street, Yucaipa, CA 92399     ",Yucaipa Terrace,Yucaipa,92399,909-797-1341,San Bernardino,42,23,8,87.04,,Extended,10/24/91,10/24/91,51,51,0,0,0,0,0,0,0,,,,,,,,,,,Yucaipa Terrace,Rishad Mitha,715 E. Brier Dr.,San Bernardino,CA,92408,909-332-6315,,"Housing Partners, Inc./Yucaipa Terrace",,,,,Housing Authority of the County of San Bernardino,Kelly Orellana,803 W. Brockton Ave,Redlands,CA,92374,909-890-5320,909-797-6762,"$289,367",$0,,,
CA-1990-030,9 %,New Construction,Willows Housing Corporation,Large Family,"50 West Edmundson Avenue, Morgan Hill, CA 95037     ",The Willows,Morgan Hill,95037,408-779-1007,Santa Clara,30,17,19,5123.07,,Extended,8/31/92,08/31/92,20,20,0,0,3,9,8,0,0,,,,,,,,,,,Edmundson Associates,John Cesare,7455 Carmel Street,Gilroy,CA,95020,408-843-9272,408-846-5909,"WILLOWS HOUSING, INC.",,,,,South County Property Management,Nancy Seager,7455 Carmel Street,Gilroy,CA,95020,408-843-9214,408-846-5909,"$384,965",$0,,,
CA-1990-034,9 %,New Construction,Hollywood Community Housing Corp.,Large Family,"5552 Carlton Way, Los Angeles, CA 90028     ",Dunning Apartments,Los Angeles,90028,(323) 962-4496,Los Angeles,43,24,28,1905.10,,Extended,10/14/92,10/14/92,26,24,0,0,0,0,0,0,0,,,,,,,,,,,Dunning Apartments Partnership,MalenRodriguez,5020 Santa Monica Blvd.,Los Angeles,CA,90029,(323) 454-6212,(323) 454-4681,Hollywood Community Housing Corporation,,,,,Barker Management Incorporated,Carmen Hernandez,"1101 E. Orangewood, Suite 200",Anaheim,CA,92815,(714) 533-3450,(714) 533-8608,"$295,599",$0,,,
CA-1990-035,9 %,New Construction,Casa Esperanza Limited Partnership,Large Family,"206 East 23rd Street, Los Angeles, CA 90011     ",Casa Esperanza,Los Angeles,90011,213.741.0581,Los Angeles,59,30,37,2240.20,,Extended,5/18/92,05/18/92,10,10,0,0,0,0,0,0,0,,,,,,,,,,,Casa Esperanza Ltd. Partnership,Shola Giwa,3655 S. Grand Ave,Los Angeles,CA,90007,213.748.7285 x240,213.748.9630,Casa Esperanza Holdings LLC,,,,,Abode Communities,Cecil Rucker,"701 E. 3d Street, Suite 400",Los Angeles,CA,90013,213.225.2778,213.225.2779,"$101,301",$0,,,
CA-1990-039,9 %,New Construction,West Hollywood Community Housing Corp.,Special Needs,"1260 N. Harper Avenue, West Hollywood, CA 90046     ",Harper Community Apartments,West Hollywood,90046,(323) 650-5930,Los Angeles,50,26,28,7003,,Extended,6/26/92,06/26/92,22,22,0,0,0,0,0,0,0,,,,,,,,,,,1260 North Harper Avenue LP,Shanon Lampkins,"7530 Santa Monica Blvd., Suite 1",West Hollywood,CA,90046,(323) 650-8771,(323) 650-4745,West Hollywood Community Housing Corporation,,,,,The John Stewart Company,Nataliia Klimova,"888 S. Figueroa Street, Suite 700",Los Angeles,CA,90017,(213) 787-2741,(213) 833-1866,"$209,517",$0,,,
CA-1990-043,9 %,,Fifth Street Partners,SRO,"617 East Fifth Street, Los Angeles, CA 90013     ",Crescent Hotel,Los Angeles,90013,213-614-6882,Los Angeles,53,30,34,2062,,Extended,8/24/92,08/24/92,55,55,0,0,0,0,0,0,0,,,,,,,,,,,Crescent Fifth Street Partners,Jo-Anne Cohen,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,Skid Row Housing Trust,,,,,SRHT Property Management Company,LaCheryl Porter,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,"$367,446",$0,,,
CA-1990-045,9 %,,Fifth Street Partners,SRO,"611 East Fifth Street, Los Angeles, CA 90014     ",St. Mark's Hotel,Los Angeles,90014,213-614-6882,Los Angeles,53,30,34,2062,,Extended,8/24/92,08/24/92,91,91,0,0,0,0,0,0,0,,,,,,,,,,,St. Marks Fifth Street Partners,Jo-Anne Cohen,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,Skid Row Housing Trust,,,,,SRHT Property Management Company,LaCheryl Porter,1317 E 7th Street,Los Angeles,CA,90021,213-683-0522,213-683-0781,"$452,514",$0,,,
