name,year,total_jobs_count
Irwindale,2011,20994.39
Pico-Union,2011,10658.43
Glendora,2011,18689.23
Industry,2011,49938.67
Sylmar,2011,20025.06
Torrance,2011,99457.33
Alhambra,2011,26211.9
Pico Rivera,2011,16869.37
Rolling Hills Estates,2011,2468.9
Signal Hill,2011,12355.19
Hawthorne,2011,19520.87
North Hills,2011,8582.12
Hacienda Heights,2011,10240.33
Harbor Gateway,2011,26106.6
Lopez/Kagel Canyons,2011,151.9
Citrus,2011,903.07
Lake Balboa,2011,7163.39
Granada Hills,2011,8752.03
Palms,2011,9077.13
Santa Monica,2011,77817.55
Pacoima,2011,14956.8
Toluca Lake,2011,2522.35
Veterans Administration,2011,8424.17
Valley Village,2011,4784.93
Brentwood,2011,22597.75
Pomona,2011,48565.22
South Whittier,2011,6748.98
Pasadena,2011,102481.98
Winnetka,2011,8150.35
Palmdale,2011,27037.45
Porter Ranch,2011,4710.7
South El Monte,2011,11420.9
Tujunga Canyons,2011,1041.42
Commerce,2011,45881.82
San Fernando,2011,8300.1
Sherman Oaks,2011,30923.84
Bradbury,2011,375.87
Panorama City,2011,11578.21
Northridge,2011,31339.3
Culver City,2011,51301.39
Lakewood,2011,19579.38
Compton,2011,29121.43
Vernon,2011,45306.06
San Dimas,2011,19016.74
Inglewood,2011,27193.75
Charter Oak,2011,1908.92
Paramount,2011,16797.57
San Pedro,2011,11711.82
Lincoln Heights,2011,10053.58
Boyle Heights,2011,23432.47
Historic South-Central,2011,16369.77
Avalon,2011,945.09
Westlake,2011,50494.01
Mission Hills,2011,6859.29
Quartz Hill,2011,1274.87
Marina del Rey,2011,4083.04
Bell,2011,9085.73
Long Beach,2011,150384.99
San Gabriel,2011,11984.57
Downey,2011,37972.02
Diamond Bar,2011,14255.56
La Canada Flintridge,2011,6098.87
West Covina,2011,24242.64
Redondo Beach,2011,25608.53
Vermont Square,2011,4187.81
Santa Fe Springs,2011,51885.19
Calabasas,2011,13243.9
Altadena,2011,4649.36
Bell Gardens,2011,9117.94
Sun Valley,2011,23919.59
Playa Vista,2011,7092.27
Carson,2011,52059.26
Hollywood Hills,2011,18144.64
Lancaster,2011,35231.2
Leona Valley,2011,160.52
Whittier,2011,23673.25
Walnut,2011,8695.82
Castaic Canyons,2011,8928.29
Silver Lake,2011,4780.3
Whittier Narrows,2011,4445.49
Glendale,2011,96063.16
West Whittier-Los Nietos,2011,4880.85
Atwater Village,2011,8475.64
East Whittier,2011,805.68
El Sereno,2011,8016.08
Montecito Heights,2011,1426.78
Florence,2011,7492.92
Huntington Park,2011,13577.94
Cheviot Hills,2011,2006.15
Cypress Park,2011,2994.57
Desert View Highlands,2011,590.42
Baldwin Park,2011,20282.61
Montebello,2011,25022.73
Leimert Park,2011,1956.94
Santa Clarita,2011,51208.35
Elysian Park,2011,2807.74
Wilmington,2011,11610.4
Jefferson Park,2011,3490.71
Downtown,2011,316792.77
Encino,2011,27876.31
West Adams,2011,4226.74
Hawaiian Gardens,2011,2029.63
Agoura Hills,2011,10764.06
Baldwin Hills/Crenshaw,2011,11223.15
Lake View Terrace,2011,2281.61
Adams-Normandie,2011,1461.03
El Monte,2011,27929.67
Rancho Dominguez,2011,12290.45
Acton,2011,539.85
Studio City,2011,22273.69
La Puente,2011,4210
North Hollywood,2011,20965.16
Rosemead,2011,22576.97
San Marino,2011,3423.44
East San Gabriel,2011,3498.73
South Park,2011,2566.97
Burbank,2011,178907.86
Woodland Hills,2011,55343.14
Angeles Crest,2011,736.58
East Compton,2011,546.11
Chatsworth,2011,36042.46
Mayflower Village,2011,2002.99
Koreatown,2011,43446.57
South Gate,2011,23557.57
Elysian Valley,2011,1504.62
Claremont,2011,16380.42
Avocado Heights,2011,8436.28
South San Gabriel,2011,2026.76
Northwest Antelope Valley,2011,1390.53
Echo Park,2011,5840.78
Lynwood,2011,11741.06
Unincorporated Santa Susana Mountains,2011,12095.09
Shadow Hills,2011,5945.36
La Habra Heights,2011,1060.95
Covina,2011,20205.04
Northwest Palmdale,2011,919.74
Sawtelle,2011,28234.45
Rancho Park,2011,5813.76
East Los Angeles,2011,20172.15
Beverlywood,2011,1703.05
Bellflower,2011,16892.34
Azusa,2011,14521.14
Del Rey,2011,10274.66
Mid-Wilshire,2011,21464.27
North Whittier,2011,4748.66
Beverly Crest,2011,1417.99
Cerritos,2011,34523.45
West Hills,2011,9509.17
Vincent,2011,2237.97
Sun Village,2011,343.93
Playa del Rey,2011,7651.8
Valinda,2011,1331.67
Tujunga,2011,3756.97
Exposition Park,2011,6120.47
