name,year,total_jobs_count
Irwindale,2013,17035.6
Pico-Union,2013,11706.97
Glendora,2013,18406.81
Industry,2013,52916.28
Sylmar,2013,19185.71
Torrance,2013,100633.26
Alhambra,2013,26511.38
Pico Rivera,2013,18095.05
Rolling Hills Estates,2013,2410.92
Signal Hill,2013,13668.42
Hawthorne,2013,22342.58
North Hills,2013,8919.22
Hacienda Heights,2013,9803.29
Harbor Gateway,2013,27525.82
Lopez/Kagel Canyons,2013,147.85
Citrus,2013,1005.1
Lake Balboa,2013,7320.92
Granada Hills,2013,9162.71
Palms,2013,9009.45
Santa Monica,2013,80835.22
Pacoima,2013,14942.21
Toluca Lake,2013,2743.33
Veterans Administration,2013,8534.2
Valley Village,2013,4776.68
Brentwood,2013,22622.01
Pomona,2013,47573.74
South Whittier,2013,6980.14
Pasadena,2013,104124.87
Winnetka,2013,8874.7
Palmdale,2013,27162.53
Porter Ranch,2013,4685.77
South El Monte,2013,11816.2
Tujunga Canyons,2013,1123.53
Commerce,2013,48992.44
San Fernando,2013,8527.64
Sherman Oaks,2013,32312.56
Bradbury,2013,361.56
Panorama City,2013,12602.88
Northridge,2013,34023.1
Culver City,2013,50702.55
Lakewood,2013,20169.26
Compton,2013,30308.7
Vernon,2013,42761.47
San Dimas,2013,18865.3
Inglewood,2013,27686.61
Charter Oak,2013,2061.42
Paramount,2013,17790.74
San Pedro,2013,11583.76
Lincoln Heights,2013,11165.02
Boyle Heights,2013,28507.35
Historic South-Central,2013,16186.06
Avalon,2013,1674.98
Westlake,2013,51724.04
Mission Hills,2013,7041.47
Quartz Hill,2013,1497.42
Marina del Rey,2013,4439.61
Bell,2013,9489.08
Long Beach,2013,160307.09
San Gabriel,2013,12623.6
Downey,2013,41311.82
Diamond Bar,2013,15630.14
La Canada Flintridge,2013,6206.79
West Covina,2013,26471.09
Redondo Beach,2013,25155.87
Vermont Square,2013,4111.09
Santa Fe Springs,2013,52832.32
Calabasas,2013,12257.87
Altadena,2013,5325.55
Bell Gardens,2013,8824.55
Sun Valley,2013,23727.88
Playa Vista,2013,8140.97
Carson,2013,57082.6
Hollywood Hills,2013,20986.96
Lancaster,2013,34201.13
Leona Valley,2013,209.63
Whittier,2013,24138.51
Walnut,2013,9257.95
Castaic Canyons,2013,10077.97
Silver Lake,2013,5160.87
Whittier Narrows,2013,4701
Glendale,2013,96239.41
West Whittier-Los Nietos,2013,5164.56
Atwater Village,2013,8028.72
East Whittier,2013,914.68
El Sereno,2013,7956.88
Montecito Heights,2013,1173.98
Florence,2013,7071.64
Huntington Park,2013,14468.75
Cheviot Hills,2013,2640.96
Cypress Park,2013,2710.8
Desert View Highlands,2013,642.84
Baldwin Park,2013,18924.41
Montebello,2013,25223.81
Leimert Park,2013,2283.68
Santa Clarita,2013,55100.97
Elysian Park,2013,2460.93
Wilmington,2013,12663.39
Jefferson Park,2013,3224.63
Downtown,2013,311297.65
Encino,2013,24882.87
West Adams,2013,3769.76
Hawaiian Gardens,2013,2040.19
Agoura Hills,2013,11047.7
Baldwin Hills/Crenshaw,2013,6211.4
Lake View Terrace,2013,2001.46
Adams-Normandie,2013,1499.32
El Monte,2013,29037.61
Rancho Dominguez,2013,12528.26
Acton,2013,593.3
Studio City,2013,23423.25
La Puente,2013,4401.03
North Hollywood,2013,21948.28
Rosemead,2013,15277.42
San Marino,2013,3405.19
East San Gabriel,2013,3730.87
South Park,2013,2904.32
Burbank,2013,187943.38
Woodland Hills,2013,55859.18
Angeles Crest,2013,757.18
East Compton,2013,487.54
Chatsworth,2013,35837.03
Mayflower Village,2013,2067.54
Koreatown,2013,42178.37
South Gate,2013,23444.4
Elysian Valley,2013,1295.84
Claremont,2013,15687.92
Avocado Heights,2013,6884.74
South San Gabriel,2013,2231.65
Northwest Antelope Valley,2013,1935.41
Echo Park,2013,6500.36
Lynwood,2013,11643.38
Unincorporated Santa Susana Mountains,2013,13627.01
Shadow Hills,2013,5700.93
La Habra Heights,2013,1122.17
Covina,2013,19059.3
Northwest Palmdale,2013,1025.44
Sawtelle,2013,28928.57
Rancho Park,2013,3092.67
East Los Angeles,2013,19670.3
Beverlywood,2013,1982.95
Bellflower,2013,21034.11
Azusa,2013,13709.76
Del Rey,2013,9823.74
Mid-Wilshire,2013,21357.15
North Whittier,2013,4892.97
Beverly Crest,2013,1530.34
Cerritos,2013,37258.74
West Hills,2013,9162.21
Vincent,2013,2315.99
Sun Village,2013,356.55
Playa del Rey,2013,8761.15
Valinda,2013,1524.32
Tujunga,2013,4096.82
Exposition Park,2013,5123.23
Eagle Rock,2013,8007.16
Harbor City,2013,6900.37
Southeast Antelope Valley,2013,1384.51
Reseda,2013,12551.15
Willowbrook,2013,7280.93
Highland Park,2013,4797.61
Temple City,2013,7338.17
Westlake Village,2013,4932.9
Pico-Robertson,2013,5655.95
Monrovia,2013,17568.66
Broadway-Manchester,2013,1702.9
Sunland,2013,1804.58
Agua Dulce,2013,621.19
Malibu,2013,3298.47
Topanga,2013,1048.04
Northeast Antelope Valley,2013,3168.12
Arleta,2013,2202.11
Van Nuys,2013,42702.34
Mar Vista,2013,4392.02
Valley Glen,2013,11533.31
Arcadia,2013,29548.44
Windsor Square,2013,4068.03
West Puente Valley,2013,2750.65
Central-Alameda,2013,9650.4
Arlington Heights,2013,2508.86
Harvard Heights,2013,2651.41
Harvard Park,2013,1207.04
East Hollywood,2013,28527.12
Lennox,2013,2140.14
Larchmont,2013,1491.35
Tarzana,2013,13674.46
Rolling Hills,2013,468.74
Mid-City,2013,11787.92
Westchester,2013,63351.5
Manchester Square,2013,851.93
Rowland Heights,2013,13218.25
Ridge Route,2013,1022.07
South San Jose Hills,2013,2268.61
Vermont-Slauson,2013,2969.53
Athens,2013,2000.26
Mount Washington,2013,1005.12
West Compton,2013,8859.74
Los Feliz,2013,7450.47
Chinatown,2013,9589.11
Century City,2013,49523.8
Florence-Firestone,2013,7141.05
University Park,2013,9855.84
Hollywood Hills West,2013,2376.83
Unincorporated Santa Monica Mountains,2013,17565.65
West Los Angeles,2013,16594.81
Hancock Park,2013,8243.35
Canoga Park,2013,19137.37
Chesterfield Square,2013,1503.87
Hidden Hills,2013,1038.51
Norwalk,2013,23905.21
North El Monte,2013,811.39
Monterey Park,2013,30725.28
Hollywood,2013,54328.27
Fairfax,2013,10855.41
Glassell Park,2013,6439.9
Watts,2013,3041.32
La Verne,2013,11209.95
Rancho Palos Verdes,2013,6334.42
Green Meadows,2013,2666.87
Del Aire,2013,3878.16
Vermont Knolls,2013,1557.94
Castaic,2013,1067.84
Westwood,2013,64971.06
Venice,2013,11460.01
South Diamond Bar,2013,917.62
Universal City,2013,3859.23
Pacific Palisades,2013,5274.95
Bel-Air,2013,2679.97
East Pasadena,2013,2714.01
Cudahy,2013,2840.76
Palos Verdes Estates,2013,2253.49
Ladera Heights,2013,28511.74
Walnut Park,2013,998.3
La Crescenta-Montrose,2013,3030.02
Gardena,2013,25033.92
Duarte,2013,11177.53
La Mirada,2013,18385.14
