Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_B18002_001,SE_B18002_002,SE_B18002_003,Percent_Rent_Burden,Percent_Severe_Burden
06037101110,"Census Tract 1011.10, Los Angeles County, California",ACSSF,ca,140,0,4200,,,,,6,37,,,101110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101110,Census Tract 1011.10,,,,644,179,175,28%,27%
06037101122,"Census Tract 1011.22, Los Angeles County, California",ACSSF,ca,140,0,4201,,,,,6,37,,,101122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101122,Census Tract 1011.22,,,,344,181,62,53%,18%
06037101220,"Census Tract 1012.20, Los Angeles County, California",ACSSF,ca,140,0,4202,,,,,6,37,,,101220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101220,Census Tract 1012.20,,,,762,198,210,26%,28%
06037101221,"Census Tract 1012.21, Los Angeles County, California",ACSSF,ca,140,0,4203,,,,,6,37,,,101221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101221,Census Tract 1012.21,,,,1140,346,410,30%,36%
06037101222,"Census Tract 1012.22, Los Angeles County, California",ACSSF,ca,140,0,4204,,,,,6,37,,,101222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101222,Census Tract 1012.22,,,,816,44,488,5%,60%
06037101300,"Census Tract 1013, Los Angeles County, California",ACSSF,ca,140,0,4205,,,,,6,37,,,101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101300,Census Tract 1013,,,,242,17,44,7%,18%
06037101400,"Census Tract 1014, Los Angeles County, California",ACSSF,ca,140,0,4206,,,,,6,37,,,101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037101400,Census Tract 1014,,,,387,207,118,53%,30%
06037102103,"Census Tract 1021.03, Los Angeles County, California",ACSSF,ca,140,0,4207,,,,,6,37,,,102103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102103,Census Tract 1021.03,,,,250,43,139,17%,56%
06037102104,"Census Tract 1021.04, Los Angeles County, California",ACSSF,ca,140,0,4208,,,,,6,37,,,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102104,Census Tract 1021.04,,,,289,31,62,11%,21%
06037102105,"Census Tract 1021.05, Los Angeles County, California",ACSSF,ca,140,0,4209,,,,,6,37,,,102105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US06037102105,Census Tract 1021.05,,,,251,37,122,15%,49%
