"Census Tract","Census Block Group","County","County ID","Region","Economic Domain Score (by region)","Environmental Domain Score (by region)","Education Domain Score (by region)","Composite Index Score","Final Category"
"06001400100","#N/A","Alameda","06001","Bay Area Region","0.797","0.928","0.788","0.59","Highest Resource"
"06001400200","#N/A","Alameda","06001","Bay Area Region","0.961","0.627","0.811","0.701","Highest Resource"
"06001400300","#N/A","Alameda","06001","Bay Area Region","0.927","0.619","0.325","0.211","High Resource"
"06001400400","#N/A","Alameda","06001","Bay Area Region","0.872","0.658","0.523","0.359","High Resource"
"06001400500","#N/A","Alameda","06001","Bay Area Region","0.76","0.698","0.566","0.31","High Resource"
"06001400600","#N/A","Alameda","06001","Bay Area Region","0.861","0.618","0.325","0.142","Moderate Resource"
"06001400700","#N/A","Alameda","06001","Bay Area Region","0.57","0.317","0.171","-0.289","Low Resource"
"06001400800","#N/A","Alameda","06001","Bay Area Region","0.529","0.122","0.473","-0.088","Moderate Resource"
"06001400900","#N/A","Alameda","06001","Bay Area Region","0.56","0.194","0.158","-0.352","Low Resource"
"06001401000","#N/A","Alameda","06001","Bay Area Region","0.627","0.038","0.166","-0.466","Low Resource"
"06001401100","#N/A","Alameda","06001","Bay Area Region","0.801","0.186","0.126","-0.251","Moderate Resource"
"06001401200","#N/A","Alameda","06001","Bay Area Region","0.854","0.393","0.27","0.021","Moderate Resource"
"06001401300","#N/A","Alameda","06001","Bay Area Region","0.464","0.035","0.214","-0.511","Low Resource"
"06001401400","#N/A","Alameda","06001","Bay Area Region","0.214","0.021","0.1","#N/A","High Segregation & Poverty"
"06001401500","#N/A","Alameda","06001","Bay Area Region","0.373","0.045","0.085","-0.693","Low Resource"
"06001401600","#N/A","Alameda","06001","Bay Area Region","0.337","0.03","0.182","-0.67","Low Resource"
"06001401700","#N/A","Alameda","06001","Bay Area Region","0.753","0.004","0.122","-0.847","Low Resource"
"06001401800","#N/A","Alameda","06001","Bay Area Region","0.522","0.071","0.112","-0.522","Low Resource"
"06001402200","#N/A","Alameda","06001","Bay Area Region","0.44","0.019","0.112","-0.731","Low Resource"
"06001402400","#N/A","Alameda","06001","Bay Area Region","0.47","0.102","0.214","-0.405","Low Resource"
"06001402500","#N/A","Alameda","06001","Bay Area Region","0.055","0.054","0.112","#N/A","High Segregation & Poverty"
"06001402600","#N/A","Alameda","06001","Bay Area Region","0.155","0.075","0.329","#N/A","High Segregation & Poverty"
"06001402700","#N/A","Alameda","06001","Bay Area Region","0.424","0.086","0.204","-0.462","Low Resource"
"06001402800","#N/A","Alameda","06001","Bay Area Region","0.36","0.079","0.347","-0.37","Low Resource"
"06001402900","#N/A","Alameda","06001","Bay Area Region","0.399","0.115","0.409","-0.237","Moderate Resource"
"06001403000","#N/A","Alameda","06001","Bay Area Region","0.22","0.077","0.447","#N/A","High Segregation & Poverty"
"06001403100","#N/A","Alameda","06001","Bay Area Region","0.515","0.08","0.412","-0.183","Moderate Resource"
"06001403300","#N/A","Alameda","06001","Bay Area Region","0.542","0.076","0.424","-0.167","Moderate Resource"
"06001403400","#N/A","Alameda","06001","Bay Area Region","0.886","0.174","0.445","0.159","Moderate Resource"
"06001403501","#N/A","Alameda","06001","Bay Area Region","0.442","0.125","0.448","-0.156","Moderate Resource"
"06001403502","#N/A","Alameda","06001","Bay Area Region","0.473","0.295","0.597","0.086","Moderate Resource"
"06001403600","#N/A","Alameda","06001","Bay Area Region","0.619","0.335","0.654","0.24","High Resource"
"06001403701","#N/A","Alameda","06001","Bay Area Region","0.756","0.496","0.591","0.299","High Resource"
"06001403702","#N/A","Alameda","06001","Bay Area Region","0.846","0.367","0.383","0.125","Moderate Resource"
"06001403800","#N/A","Alameda","06001","Bay Area Region","0.894","0.643","0.761","0.586","Highest Resource"
"06001403900","#N/A","Alameda","06001","Bay Area Region","0.735","0.505","0.653","0.351","High Resource"
"06001404000","#N/A","Alameda","06001","Bay Area Region","0.819","0.469","0.344","0.095","Moderate Resource"
"06001404101","#N/A","Alameda","06001","Bay Area Region","0.931","0.679","0.322","0.227","High Resource"
"06001404102","#N/A","Alameda","06001","Bay Area Region","0.741","0.673","0.344","0.086","Moderate Resource"
"06001404200","#N/A","Alameda","06001","Bay Area Region","0.749","0.861","0.925","0.687","Highest Resource"
