Geo_QNAME,Geo_NAME,Geo_FIPS,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T028_000,SE_T028_001,SE_T028_002,SE_T028_003,SE_T028_004,SE_T028_005,SE_T028_006,SE_T028_007,SE_T028_008,SE_T028_009,SE_T029_000,SE_T029_001,SE_T029_002,SE_T029_003,SE_T029_004,SE_T029_005,SE_T029_006,SE_T029_007,SE_T029_008,SE_T029_009,SE_T030_000,SE_T030_001,SE_T030_002,SE_T030_003,SE_T030_004,SE_T030_005,SE_T030_006,SE_T030_007,SE_T030_008,SE_T030_009,SE_T031_000,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_000,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009
"Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10","06037101110","00","06","037",,"101110",,,,,,,,4926,1381,3545,2840,65,7,434,8,14,177,4731,1324,3407,2656,74,14,486,4,30,143,195,57,138,184,-9,-7,-52,4,-16,34,4.12175015852885,4.30513595166163,4.05048429703552,6.92771084337349,-12.1621621621622,-50,-10.6995884773663,100,-53.3333333333333,23.7762237762238,-1.11022302462516E-14,0.0492900507729988,-0.0492900507730099,1.51291749471121,-0.244622312572297,-0.153817397933294,-1.46227579720768,0.0778548516780115,-0.349909156466883,0.57056226701794
"Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22","06037101122","00","06","037",,"101122",,,,,,,,3728,542,3186,2614,31,7,392,0,23,119,3664,575,3089,2437,26,4,495,1,10,116,64,-33,97,177,5,3,-103,-1,13,3,1.74672489082969,-5.73913043478261,3.14017481385562,7.26302831350021,19.2307692307692,75,-20.8080808080808,-100,130,2.58620689655172,0,-1.15460483160598,1.15460483160598,3.60601701744852,0.121938077478119,0.0785979346664917,-2.99480386828345,-0.027292576419214,0.344027025507431,0.0261212212080891
"Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20","06037101220","00","06","037",,"101220",,,,,,,,3344,1081,2263,1751,34,4,352,0,21,101,3363,1272,2091,1662,36,11,272,2,3,105,-19,-191,172,89,-2,-7,80,-2,18,-4,-0.564971751412429,-15.0157232704403,8.22572931611669,5.35499398315283,-5.55555555555556,-63.6363636363636,29.4117647058824,-100,600,-3.80952380952381,0,-5.49681696537183,5.49681696537183,2.94227962046874,-0.0537263806666126,-0.207471683832076,2.43829913767469,-0.0594707106749926,0.538784364609521,-0.101877382207444
"Census Tract 1012.21, Los Angeles County, California","Census Tract 1012.21","06037101221","00","06","037",,"101221",,,,,,,,3444,1178,2266,1840,73,3,246,3,10,91,3434,1171,2263,1745,89,4,261,3,5,156,10,7,3,95,-16,-1,-15,0,5,-65,0.29120559114735,0.597779675491033,0.132567388422448,5.44412607449857,-17.9775280898876,-25,-5.74712643678161,0,100,-41.6666666666667,1.11022302462516E-14,0.104238749351471,-0.10423874935146,2.61087289298719,-0.472101422070881,-0.0293742225216578,-0.457608786088694,-0.000253663406922782,0.144757250883932,-1.90053079913443
"Census Tract 1012.22, Los Angeles County, California","Census Tract 1012.22","06037101222","00","06","037",,"101222",,,,,,,,2808,1040,1768,1455,76,3,148,0,8,78,2556,1048,1508,1145,94,2,187,0,0,80,252,-8,260,310,-18,1,-39,0,8,-2,9.85915492957746,-0.763358778625954,17.2413793103448,27.0742358078603,-19.1489361702128,50,-20.855614973262,,,-2.5,5.32907051820075E-15,-3.96452790818988,3.96452790818989,7.01968219573854,-0.97106857670238,0.028590345491754,-2.04546366518198,0,0.284900284900285,-0.352112676056338
"Census Tract 1013, Los Angeles County, California","Census Tract 1013","06037101300","00","06","037",,"101300",,,,,,,,4269,483,3786,3251,24,1,352,2,20,136,4198,503,3695,3189,41,5,317,3,7,133,71,-20,91,62,-17,-4,35,-1,13,3,1.69128156264888,-3.97614314115308,2.46278755074425,1.94418312950768,-41.4634146341463,-80,11.0410094637224,-33.3333333333333,185.714285714286,2.25563909774436,-1.33226762955019E-15,-0.667771053176948,0.667771053176947,0.188920847203733,-0.41446299931333,-0.095679645774946,0.694275883026541,-0.0246132219929601,0.301747722900318,0.0175824671275936
"Census Tract 1014, Los Angeles County, California","Census Tract 1014","06037101400","00","06","037",,"101400",,,,,,,,3898,731,3167,2597,40,10,320,3,24,173,3903,721,3182,2649,45,7,337,0,7,137,-5,10,-15,-52,-5,3,-17,3,17,36,-0.128106584678452,1.3869625520111,-0.471401634192332,-1.96300490751227,-11.1111111111111,42.8571428571429,-5.04451038575668,,242.857142857143,26.2773722627737,0,0.280237262071104,-0.280237262071104,-1.24695886536346,-0.126791996841834,0.0771925977662261,-0.425045685213792,0.0769625448948179,0.436351140608709,0.928053002078232
"Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03","06037102103","00","06","037",,"102103",,,,,,,,2107,419,1688,1407,46,1,140,6,22,66,1740,375,1365,1114,21,3,167,2,0,58,367,44,323,293,25,-2,-27,4,22,8,21.0919540229885,11.7333333333333,23.6630036630037,26.3016157989228,119.047619047619,-66.6666666666667,-16.1676646706587,200,,13.7931034482759,8.43769498715119E-15,-1.66563016545832,1.66563016545833,2.75442013212663,0.976302309215587,-0.124952948300411,-2.95318287700004,0.169822540082593,1.04413858566683,-0.200917576332859
"Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04","06037102104","00","06","037",,"102104",,,,,,,,3906,556,3350,2719,83,1,399,1,16,131,3648,533,3115,2437,86,3,470,3,7,109,258,23,235,282,-3,-2,-71,-2,9,22,7.07236842105263,4.31519699812383,7.54414125200642,11.5716044316783,-3.48837209302326,-66.6666666666667,-15.1063829787234,-66.6666666666667,128.571428571429,20.1834862385321,8.32667268468867E-15,-0.37623460533053,0.376234605330539,2.80712702455063,-0.232520144447139,-0.0566352036003988,-2.6687181663837,-0.0566352036003988,0.217740251165548,0.365876047645997
"Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05","06037102105","00","06","037",,"102105",,,,,,,,1855,1028,827,568,20,1,177,0,10,51,1731,1136,595,413,15,2,139,0,3,23,124,-108,232,155,5,-1,38,0,7,28,7.16348931253611,-9.50704225352113,38.9915966386555,37.5302663438257,33.3333333333333,-50,27.3381294964029,,233.333333333333,121.739130434783,-1.06581410364015E-14,-10.2090155574345,10.2090155574345,6.76090507489089,0.211615989386501,-0.061631794407047,1.51173853668867,0,0.36577333264819,1.42061441822732
"Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07","06037102107","00","06","037",,"102107",,,,,,,,3984,1149,2835,2328,87,5,242,1,41,131,3851,1039,2812,2310,102,15,278,13,9,85,133,110,23,18,-15,-10,-36,-12,32,46,3.4536484030122,10.5871029836381,0.817923186344239,0.779220779220779,-14.7058823529412,-66.6666666666667,-12.9496402877698,-92.3076923076923,355.555555555556,54.1176470588235,-5.55111512312578E-15,1.86035625232688,-1.86035625232689,-1.55068469150557,-0.464927745257843,-0.264007210352707,-1.14460699197726,-0.312474254327098,0.795410934832553,1.08093370626103
