geoid,Leading Zeros,geoid20,GeoFIPS,year,tot_units_count,li_units_count
1400000US06037101400,0,6037101400,06037101400,2019,46,45
1400000US06037103102,0,6037103102,06037103102,2019,82,81
1400000US06037104105,0,6037104105,06037104105,2019,480,475
1400000US06037104108,0,6037104108,06037104108,2019,49,48
1400000US06037104703,0,6037104703,06037104703,2019,64,62
1400000US06037104704,0,6037104704,06037104704,2019,51,50
1400000US06037104821,0,6037104821,06037104821,2019,80,79
1400000US06037106114,0,6037106114,06037106114,2019,240,239
1400000US06037106407,0,6037106407,06037106407,2019,18,18
1400000US06037106510,0,6037106510,06037106510,2019,59,59
1400000US06037106604,0,6037106604,06037106604,2019,68,64
1400000US06037106648,0,6037106648,06037106648,2019,60,59
1400000US06037111302,0,6037111302,06037111302,2019,80,80
1400000US06037115204,0,6037115204,06037115204,2019,270,109
1400000US06037115301,0,6037115301,06037115301,2019,72,72
1400000US06037117201,0,6037117201,06037117201,2019,197,185
1400000US06037117202,0,6037117202,06037117202,2019,148,147
1400000US06037117302,0,6037117302,06037117302,2019,151,31
1400000US06037117405,0,6037117405,06037117405,2019,116,113
1400000US06037117520,0,6037117520,06037117520,2019,102,100
1400000US06037117530,0,6037117530,06037117530,2019,64,63
1400000US06037119310,0,6037119310,06037119310,2019,205,202
1400000US06037119320,0,6037119320,06037119320,2019,56,55
1400000US06037119341,0,6037119341,06037119341,2019,87,86
1400000US06037120030,0,6037120030,06037120030,2019,190,190
1400000US06037120108,0,6037120108,06037120108,2019,67,66
1400000US06037120400,0,6037120400,06037120400,2019,297,294
1400000US06037121102,0,6037121102,06037121102,2019,60,60
1400000US06037121222,0,6037121222,06037121222,2019,103,101
1400000US06037122120,0,6037122120,06037122120,2019,78,30
1400000US06037122122,0,6037122122,06037122122,2019,257,257
1400000US06037122410,0,6037122410,06037122410,2019,83,82
1400000US06037123203,0,6037123203,06037123203,2019,15,15
1400000US06037123304,0,6037123304,06037123304,2019,401,242
1400000US06037123420,0,6037123420,06037123420,2019,100,99
1400000US06037123602,0,6037123602,06037123602,2019,15,15
1400000US06037123901,0,6037123901,06037123901,2019,30,29
