geoid,Leading 0,geoid20,year,denom_known_poverty,pop_below_100_count,pop_below_100_pct,pop_below_200_count,pop_below_200_pct,FIPS
1400000US06037101110,0,6037101110,2021,3806,436,11.455596,888,23.331581,06037101110
1400000US06037101122,0,6037101122,2021,4216,260,6.1669831,538,12.760911,06037101122
1400000US06037101220,0,6037101220,2021,3583,650,18.141222,1193,33.29612,06037101220
1400000US06037101221,0,6037101221,2021,3686,735,19.940315,1473,39.962017,06037101221
1400000US06037101222,0,6037101222,2021,2690,1035,38.475838,1722,64.01487,06037101222
1400000US06037101300,0,6037101300,2021,4026,290,7.2031794,652,16.194735,06037101300
1400000US06037101400,0,6037101400,2021,3356,241,7.1811681,1206,35.935638,06037101400
1400000US06037102103,0,6037102103,2021,1767,120,6.7911716,580,32.823994,06037102103
1400000US06037102104,0,6037102104,2021,3770,269,7.1352787,851,22.572945,06037102104
1400000US06037102105,0,6037102105,2021,1674,88,5.2568698,477,28.494623,06037102105
1400000US06037102107,0,6037102107,2021,3815,329,8.6238537,884,23.17169,06037102107
1400000US06037103101,0,6037103101,2021,2481,67,2.7005241,453,18.258766,06037103101
1400000US06037103102,0,6037103102,2021,4692,306,6.521739,1241,26.449276,06037103102
1400000US06037103201,0,6037103201,2021,4072,465,11.41945,1146,28.143419,06037103201
1400000US06037103202,0,6037103202,2021,2077,36,1.7332691,233,11.218103,06037103202
1400000US06037103300,0,6037103300,2021,3837,161,4.1959863,438,11.415168,06037103300
1400000US06037103401,0,6037103401,2021,2643,147,5.5618615,520,19.674612,06037103401
1400000US06037103402,0,6037103402,2021,3850,198,5.1428571,601,15.61039,06037103402
1400000US06037104103,0,6037104103,2021,4124,180,4.3646946,751,18.210476,06037104103
1400000US06037104105,0,6037104105,2021,5789,1519,26.23942,2912,50.302296,06037104105
1400000US06037104108,0,6037104108,2021,5138,786,15.297781,2165,42.13702,06037104108
1400000US06037104124,0,6037104124,2021,3703,353,9.5328112,1106,29.867676,06037104124
1400000US06037104201,0,6037104201,2021,4550,412,9.054945,1458,32.043957,06037104201
1400000US06037104203,0,6037104203,2021,5154,1003,19.460613,2547,49.417927,06037104203
1400000US06037104204,0,6037104204,2021,3410,448,13.13783,1457,42.727272,06037104204
1400000US06037104310,0,6037104310,2021,4842,434,8.9632387,1440,29.739777,06037104310
1400000US06037104321,0,6037104321,2021,3115,567,18.202248,1238,39.743179,06037104321
1400000US06037104322,0,6037104322,2021,1892,114,6.0253701,593,31.342495,06037104322
1400000US06037104401,0,6037104401,2021,3066,694,22.635355,1423,46.412262,06037104401
1400000US06037104403,0,6037104403,2021,2668,435,16.304348,867,32.49625,06037104403
1400000US06037104404,0,6037104404,2021,3395,609,17.938145,1467,43.210606,06037104404
1400000US06037104500,0,6037104500,2021,3087,870,28.182701,1302,42.176872,06037104500
1400000US06037104610,0,6037104610,2021,3219,363,11.276794,1275,39.608574,06037104610
1400000US06037104620,0,6037104620,2021,3419,470,13.74671,1482,43.346008,06037104620
1400000US06037104701,0,6037104701,2021,3788,922,24.340021,2556,67.476242,06037104701
1400000US06037104703,0,6037104703,2021,2367,432,18.25095,1045,44.148712,06037104703
1400000US06037104704,0,6037104704,2021,4403,1242,28.20804,2450,55.643879,06037104704
1400000US06037104821,0,6037104821,2021,3420,547,15.994152,1322,38.654972,06037104821
1400000US06037104822,0,6037104822,2021,2668,574,21.514242,1353,50.712143,06037104822
1400000US06037104823,0,6037104823,2021,3346,800,23.909145,1693,50.597729,06037104823
1400000US06037104824,0,6037104824,2021,2781,157,5.6454511,584,20.99964,06037104824
1400000US06037106010,0,6037106010,2021,3487,131,3.7568109,372,10.668196,06037106010
1400000US06037106020,0,6037106020,2021,4790,831,17.348642,1270,26.513571,06037106020
1400000US06037106111,0,6037106111,2021,4694,273,5.8159351,651,13.868769,06037106111
1400000US06037106112,0,6037106112,2021,5026,742,14.763231,1223,24.333466,06037106112
1400000US06037106113,0,6037106113,2021,3706,178,4.8030219,737,19.886671,06037106113
1400000US06037106114,0,6037106114,2021,6658,1410,21.17753,3094,46.470413,06037106114
1400000US06037106403,0,6037106403,2021,3463,227,6.5550103,1250,36.095871,06037106403
1400000US06037106405,0,6037106405,2021,4329,890,20.559021,1669,38.55394,06037106405
1400000US06037106406,0,6037106406,2021,6344,448,7.0617905,1854,29.224464,06037106406
1400000US06037106407,0,6037106407,2021,2398,633,26.396997,1383,57.673061,06037106407
1400000US06037106408,0,6037106408,2021,3705,861,23.238867,1782,48.097164,06037106408
1400000US06037106510,0,6037106510,2021,5315,753,14.167451,1634,30.743179,06037106510
1400000US06037106520,0,6037106520,2021,5836,901,15.438657,1689,28.941055,06037106520
1400000US06037106603,0,6037106603,2021,3632,185,5.0936122,637,17.538546,06037106603
1400000US06037106604,0,6037106604,2021,3736,200,5.3533192,868,23.233404,06037106604
1400000US06037106641,0,6037106641,2021,2200,157,7.1363635,406,18.454546,06037106641
