,Tract,Permit Type,Permit Sub-Type,Issue Date,# of Residential Dwelling Units,AFFD,Zone,Census Tract,Latitude,Longitude,geometry
0,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
1,"BLOCKS NO'S. 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23 & 24 ELYSIAN HEI",Bldg-New,1 or 2 Family Dwelling,2021-09-30,1,NOAH,RD2-1VL,1974.1,34.08801,-118.25256,POINT (-118.25256 34.08801)
2,TR 74704,Bldg-New,1 or 2 Family Dwelling,2021-01-22,1,NOAH,(T)(Q)R1-1,1174.04,34.22664,-118.47725,POINT (-118.47725 34.22664)
4,TR 74704,Bldg-New,1 or 2 Family Dwelling,2021-01-22,1,NOAH,(T)(Q)R1-1,1174.04,34.22664,-118.47668,POINT (-118.47668 34.22664)
5,TR 13112,Bldg-New,1 or 2 Family Dwelling,2021-10-04,1,NOAH,RA-1,2623.03,34.07114,-118.48214,POINT (-118.48214 34.07114)
6,TR 63149,Bldg-New,1 or 2 Family Dwelling,2017-08-30,1,NOAH,RE11-1,1235.1,34.19767,-118.42772,POINT (-118.42772 34.19767)
8,P M 2009-3945,Bldg-New,1 or 2 Family Dwelling,2019-06-18,1,NOAH,RA-1,1393.01,34.17456,-118.55988,POINT (-118.55988 34.17456)
9,TR 49104-06-C,Bldg-New,1 or 2 Family Dwelling,2019-05-31,1,NOAH,R4(PV),2756.02,33.9721,-118.42177,POINT (-118.42177 33.9721)
10,TR 5593,Bldg-New,1 or 2 Family Dwelling,2021-10-06,1,NOAH,RD1.5-1,1437.0,34.13313,-118.36148,POINT (-118.36148 34.13313)
11,TR 2800,Bldg-New,1 or 2 Family Dwelling,2017-07-19,1,NOAH,(T)(Q)RD2-1,1174.04,34.22316,-118.48506,POINT (-118.48506 34.22316)
13,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-03-03,1,NOAH,[T]RE-1,1082.02,34.28433,-118.57742,POINT (-118.57742 34.28433)
14,TR 6052,Bldg-New,1 or 2 Family Dwelling,2017-05-22,1,NOAH,R1-1,2721.0,34.00514,-118.43733,POINT (-118.43733 34.00514)
15,REPLAT OF OCEAN PARK HEIGHTS,Bldg-New,1 or 2 Family Dwelling,2017-03-07,1,NOAH,R1-1,2719.02,34.0102,-118.43502,POINT (-118.43502 34.0102)
16,TR 9803,Bldg-New,1 or 2 Family Dwelling,2019-05-21,1,NOAH,R1-1-RIO,1433.0,34.15157,-118.38213,POINT (-118.38213 34.15157)
17,TR 2756,Bldg-New,1 or 2 Family Dwelling,2018-12-27,1,NOAH,C2-1,2185.0,34.03941,-118.3476,POINT (-118.3476 34.03941)
19,TR 12376,Bldg-New,1 or 2 Family Dwelling,2019-10-31,1,NOAH,R1-1-O,2678.0,34.03832,-118.42841,POINT (-118.42841 34.03832)
23,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-03-07,1,NOAH,[T]RE-1,1082.02,34.28322,-118.58092,POINT (-118.58092 34.28322)
26,TR 33134,Bldg-Alter/Repair,Apartment,2019-05-10,1,NOAH,R3-1,1310.1,34.21923,-118.53629,POINT (-118.53629 34.21923)
27,TR 12328,Bldg-New,1 or 2 Family Dwelling,2017-11-06,1,NOAH,R1-1,2625.01,34.04897,-118.52578,POINT (-118.52578 34.04897)
28,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-03-03,1,NOAH,[T]RE-1,1082.02,34.28437,-118.57763,POINT (-118.57763 34.28437)
30,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
34,TR 7580,Bldg-New,1 or 2 Family Dwelling,2019-04-12,1,NOAH,R1V2-O,2691.0,34.05347,-118.39112,POINT (-118.39112 34.05347)
36,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
38,TR 7127,Bldg-Addition,Apartment,2018-01-11,1,NOAH,RD1.5-1,2193.0,34.02428,-118.33152,POINT (-118.33152 34.02428)
39,THE MC CARTHY COMPANY'S GREATER LOS ANGELES TRACT,Bldg-Addition,1 or 2 Family Dwelling,2019-03-14,1,NOAH,R2-1,2393.2,33.97864,-118.27056,POINT (-118.27056 33.97864)
41,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
42,ROSE HILL COURT,Bldg-New,1 or 2 Family Dwelling,2020-05-11,1,NOAH,[Q]R1-1D,1991.1,34.08177,-118.19467,POINT (-118.19467 34.08177)
43,BOWEN'S VERNON AND HOOPER AVE TRACT,Bldg-Addition,1 or 2 Family Dwelling,2020-05-13,1,NOAH,R2-1,2282.2,34.00719,-118.25065,POINT (-118.25065 34.00719)
44,SHAFER AND LANTERMAN TRACT,Bldg-Addition,Apartment,2018-05-17,1,NOAH,R3-1XL,1912.03,34.09353,-118.29595,POINT (-118.29595 34.09353)
45,TR 9300,Bldg-New,1 or 2 Family Dwelling,2018-09-04,1,NOAH,R1V1,2625.01,34.0472,-118.52017,POINT (-118.52017 34.0472)
47,TR 11233,Bldg-New,1 or 2 Family Dwelling,2020-01-17,1,NOAH,RE11-1-HCR,1941.02,34.12269,-118.36979,POINT (-118.36979 34.12269)
49,HYLAND HEIGHTS TRACT,Bldg-Alter/Repair,1 or 2 Family Dwelling,2021-02-11,1,NOAH,R2-1-CUGU,2038.0,34.04474,-118.19684,POINT (-118.19684 34.04474)
50,TR 9755,Bldg-New,1 or 2 Family Dwelling,2018-04-20,1,NOAH,R1-1,2654.1,34.06787,-118.46617,POINT (-118.46617 34.06787)
52,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.28152,-118.38439,POINT (-118.38439 34.28152)
53,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-02-15,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
54,TR 74196,Bldg-New,1 or 2 Family Dwelling,2019-05-29,1,NOAH,RU-1,1041.24,34.2816,-118.38448,POINT (-118.38448 34.2816)
55,TR 1338,Bldg-New,1 or 2 Family Dwelling,2017-07-11,1,NOAH,R1-1,1321.02,34.20529,-118.50007,POINT (-118.50007 34.20529)
56,BRENTWOOD PARK,Bldg-New,1 or 2 Family Dwelling,2021-06-25,1,NOAH,RE20-1,2640.0,34.05186,-118.4843,POINT (-118.4843 34.05186)
57,TR 50509,Bldg-New,1 or 2 Family Dwelling,2019-04-09,1,NOAH,[T]RE-1,1082.02,34.28316,-118.58114,POINT (-118.58114 34.28316)
58,TR 21715,Bldg-New,1 or 2 Family Dwelling,2018-11-13,1,NOAH,RE11-1,1397.02,34.14028,-118.49843,POINT (-118.49843 34.14028)
60,TR 4424,Bldg-New,1 or 2 Family Dwelling,2017-12-05,1,NOAH,R1-1-O,2739.02,33.98703,-118.46105,POINT (-118.46105 33.98703)
63,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-02-15,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
65,BOWEN AND CHAMBERLIN'S MAIN STREET BOULEVARD TRACT,Bldg-Addition,1 or 2 Family Dwelling,2017-04-19,1,NOAH,R3-1,2318.0,34.00395,-118.27507,POINT (-118.27507 34.00395)
66,TR 25195,Bldg-New,1 or 2 Family Dwelling,2020-01-17,1,NOAH,RE15-1-H-HCR,2611.02,34.09668,-118.41719,POINT (-118.41719 34.09668)
67,TR 5588,Bldg-New,1 or 2 Family Dwelling,2017-09-13,1,NOAH,R1-1-RFA-RIO,1434.0,34.15192,-118.41036,POINT (-118.41036 34.15192)
68,TR 9300,Bldg-New,1 or 2 Family Dwelling,2018-09-11,1,NOAH,R1-1,2627.06,34.03746,-118.52937,POINT (-118.52937 34.03746)
69,SUBDIVISION NO. 1 OF THE PROPERTY OF THE PORTER LAND AND WATER COMPANY,Bldg-New,1 or 2 Family Dwelling,2018-10-25,1,NOAH,A2-1,1172.02,34.23677,-118.48485,POINT (-118.48485 34.23677)
74,TR 10866,Bldg-New,1 or 2 Family Dwelling,2017-10-27,1,NOAH,RE11-1-RFA-RIO,1436.02,34.14311,-118.38538,POINT (-118.38538 34.14311)
77,TR 9491,Bldg-New,1 or 2 Family Dwelling,2019-08-13,1,NOAH,R1-1-RIO,1431.0,34.15061,-118.35393,POINT (-118.35393 34.15061)
78,TR 6193,Bldg-New,1 or 2 Family Dwelling,2017-09-08,1,NOAH,R1-1-O,2657.0,34.06155,-118.42135,POINT (-118.42135 34.06155)
79,TR 7260,Bldg-New,1 or 2 Family Dwelling,2018-01-26,1,NOAH,R1-1-O,2671.0,34.05656,-118.42012,POINT (-118.42012 34.05656)
80,TR 5531,Bldg-Addition,1 or 2 Family Dwelling,2017-11-28,1,NOAH,RD2-1,2184.0,34.03446,-118.35858,POINT (-118.35858 34.03446)
81,TR 7385,Bldg-New,1 or 2 Family Dwelling,2019-05-07,1,NOAH,R2-1-O,2170.02,34.04936,-118.37896,POINT (-118.37896 34.04936)
84,TR 8978,Bldg-New,1 or 2 Family Dwelling,2017-03-10,1,NOAH,RE11-1,2628.02,34.04681,-118.5056,POINT (-118.5056 34.04681)
86,TR 6659,Bldg-New,1 or 2 Family Dwelling,2019-05-13,1,NOAH,R1V2,2170.01,34.04845,-118.3878,POINT (-118.3878 34.04845)
87,TR 24545,Bldg-New,1 or 2 Family Dwelling,2018-12-28,1,NOAH,(T)(Q)C2-1,1132.32,34.21979,-118.6095,POINT (-118.6095 34.21979)
88,TR 14783,Bldg-New,1 or 2 Family Dwelling,2018-03-22,1,NOAH,R1-1,1397.01,34.16214,-118.49976,POINT (-118.49976 34.16214)
90,PIONEER INVESTMENT AND TRUST CO'S UNIVERSITY PLACE,Bldg-Alter/Repair,Apartment,2019-06-13,1,NOAH,R2-1,2316.0,34.00909,-118.30328,POINT (-118.30328 34.00909)
91,TR 15375,Bldg-New,1 or 2 Family Dwelling,2016-11-03,1,NOAH,RE15-1,2623.03,34.0676,-118.48727,POINT (-118.48727 34.0676)
92,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2019-10-29,1,NOAH,[T]RE-1,1082.02,34.28551,-118.57202,POINT (-118.57202 34.28551)
94,TR 4020,Bldg-New,1 or 2 Family Dwelling,2018-01-12,1,NOAH,RD1.5-1,1977.0,34.07042,-118.24675,POINT (-118.24675 34.07042)
96,TR 18529,Bldg-New,1 or 2 Family Dwelling,2020-01-16,1,NOAH,RA-1,1397.01,34.15055,-118.50396,POINT (-118.50396 34.15055)
97,TR 9502,Bldg-New,1 or 2 Family Dwelling,2019-06-06,1,NOAH,RD2-1-RIO,1433.0,34.14893,-118.38021,POINT (-118.38021 34.14893)
98,LEMONA TRACT,Bldg-New,Commercial,2021-02-24,1,NOAH,R4-2,1909.01,34.09606,-118.31193,POINT (-118.31193 34.09606)
99,TR 4511,Bldg-New,1 or 2 Family Dwelling,2018-07-12,1,NOAH,RD2-1,2382.0,33.96602,-118.30265,POINT (-118.30265 33.96602)
100,TR 5635,Bldg-New,1 or 2 Family Dwelling,2019-04-24,1,NOAH,R1-1VL-RIO,1972.0,34.0881,-118.22962,POINT (-118.22962 34.0881)
102,TR 50509-01,Bldg-New,1 or 2 Family Dwelling,2020-01-28,1,NOAH,[T]RE-1,1082.02,34.2843,-118.57721,POINT (-118.57721 34.2843)
105,TR 8463,Bldg-New,1 or 2 Family Dwelling,2017-09-15,1,NOAH,RD2-1VL,1951.0,34.09733,-118.27464,POINT (-118.27464 34.09733)
106,TR 14661,Bldg-New,1 or 2 Family Dwelling,2018-03-09,1,NOAH,RE15-1-H,1397.01,34.14873,-118.49831,POINT (-118.49831 34.14873)
107,NEW YORK TRACT,Bldg-New,1 or 2 Family Dwelling,2018-08-06,1,NOAH,RD1.5-1,1832.2,34.11997,-118.19639,POINT (-118.19639 34.11997)
108,BEATH'S FIGUEROA MONETA AVE. TRACT,Bldg-New,1 or 2 Family Dwelling,2019-07-03,1,NOAH,RD2-1,2403.0,33.95609,-118.28159,POINT (-118.28159 33.95609)
109,TR 4511,Bldg-New,1 or 2 Family Dwelling,2019-02-19,1,NOAH,RD2-1,2381.0,33.96192,-118.30786,POINT (-118.30786 33.96192)
110,TR 11877,Bldg-New,1 or 2 Family Dwelling,2020-02-06,1,NOAH,R1-1-RIO,1433.0,34.15343,-118.38458,POINT (-118.38458 34.15343)
