X,Y,OBJECTID,FID_,Parcel_Num,Property_C,Property_S,Inventory,Zoned_As,Address1,County,City,Longitude,Latitude,Council_Di,Square_Foo,Business_I
-118.5298156996,34.2007179004728,1,0,2125036902,Vacant Land,Owned,EWDD,[Q]C2-1L-CDO,18210 SHERMAN WAY,LOS ANGELES,RESEDA,-118.5298157,34.2007179,3,16848.06795,None
-118.30981450012,33.991958600109,2,0,5005031900,Residential Improved,Surplus-Undeclared,EWDD,R2-1,5510 S MANHATTAN PL,LOS ANGELES,LOS ANGELES,-118.3098145,33.9919586,8,5958.049802,None
-118.285998800092,34.0110950999965,3,0,5019025912,Residential Improved,Owned,EWDD,C2-1,704 W MARTIN LUTHER KING JR BVLD,LOS ANGELES,LOS ANGELES,-118.2859988,34.0110951,9,3624.135685,None
-118.33886719949,34.0116691997303,4,0,5032003903,Commercial Improved,Owned,EWDD,[Q]C2-2D,4023 MARLTON AVE,LOS ANGELES,LOS ANGELES,-118.3388672,34.0116692,10,7000.045749,None
-118.226405900837,34.0473437999022,5,0,5172008901,Commercial Improved,Owned,EWDD,C1-1-RIO,1308 E 1st St,LOS ANGELES,Los Angeles,-118.2264059,34.0473438,14,5081.358149,None
-118.257020900741,33.936148500082,6,0,6071021915,Vacant Land,Owned,EWDD,M1-1,10931 South Clovis Ave,LOS ANGELES,LOS ANGELES,-118.2570209,33.9361485,8,185911, 
-118.247562500487,33.9208217000585,7,0,6148021270,Residential Improved,Surplus-Undeclared,EWDD,R1,12243 BLAKLEY AVE,LOS ANGELES,LOS ANGELES,-118.2475625,33.9208217,99,1177, 
-118.22219449997,34.0426778003334,8,0,5171001900,Public Facility,Owned,HACLA,C1-1-RIO-CUGU,1526 E 4TH ST,LOS ANGELES,LOS ANGELES,-118.2221945,34.0426778,14,4979.654663, 
-118.291620599972,34.0209313005669,9,0,5040030905,Commercial Vacant Land,Owned,EWDD,PF-1,3685 S Vermont AVE,LOS ANGELES,Los Angeles,-118.2916206,34.0209313,8,33398, 
-118.249928799489,34.0508105000607,10,0,5149010939,Commercial Vacant Land,Owned,EWDD,C2-4D,361 S HILL ST,LOS ANGELES,LOS ANGELES,-118.2499288,34.0508105,14,104945.254, 
-118.535509799487,34.2014205001697,11,0,2119020900,Commercial Improved,Owned,EWDD,[Q]C2-2D-CDO,18447 SHERMAN WAY,LOS ANGELES,RESEDA,-118.5355098,34.2014205,3,9001, 
-118.275187999652,34.0582480001314,12,0,5141001904,Commercial Improved,Owned,CRA,C4-2,634 S ALVARADO ST,LOS ANGELES,LOS ANGELES,-118.275188,34.058248,1,20660, 
-118.242992500244,33.9429419000046,13,0,6065023916,Commercial Improved,Owned,EWDD,PF-1,1686 E 103rd St,LOS ANGELES,Los Angeles,-118.2429925,33.9429419,15,10227, 
-118.253036300229,33.7763748997852,14,0,7424014906,Commercial Vacant Land,Owned,EWDD,[Q]M2-1VL-O,514 MCFARLAND AVE,LOS ANGELES,LOS ANGELES,-118.2530363,33.7763749,15,3875, 
-118.219498000032,34.0469079998634,15,0,5174018900,Commercial Vacant Land,Owned,EWDD,C2-1-RIO,110 S Boyle Ave,LOS ANGELES,LOS ANGELES,-118.219498,34.046908,14,14600.02695, 
-118.614082299574,34.224636100129,16,0,2004018902,Vacant Land,Surplus-Undeclared,General Services,RE11-1,22322 NAPA ST,LOS ANGELES,LOS ANGELES,-118.6140823,34.2246361,12,11682.49977,None
-118.253349300224,34.0718632000632,17,0,5405020900,Commercial Improved,Owned,General Services, ,1010 DOUGLAS ST,LOS ANGELES,LOS ANGELES,-118.2533493,34.0718632,1,11298.9688, 
