name,year,total_jobs_count
Irwindale,2018,17491.31
Pico-Union,2018,11117.75
Glendora,2018,20474.53
Industry,2018,60652.75
Sylmar,2018,21064.35
Torrance,2018,108055.11
Alhambra,2018,28094.74
Pico Rivera,2018,18452.6
Rolling Hills Estates,2018,2558.17
Signal Hill,2018,15188.89
Hawthorne,2018,25529.88
North Hills,2018,9524.06
Hacienda Heights,2018,10041.88
Harbor Gateway,2018,30308.75
Lopez/Kagel Canyons,2018,148.43
Citrus,2018,1128.67
Lake Balboa,2018,9979.37
Granada Hills,2018,11326.16
Palms,2018,10893.78
Santa Monica,2018,90361.51
Pacoima,2018,16316.34
Toluca Lake,2018,2927.66
Veterans Administration,2018,9347.45
Valley Village,2018,4892.35
Brentwood,2018,19912.75
Pomona,2018,51093.55
South Whittier,2018,7130.21
Pasadena,2018,110758.03
Winnetka,2018,10219.79
Palmdale,2018,32392.88
Porter Ranch,2018,4565.07
South El Monte,2018,11910.35
Tujunga Canyons,2018,1441.36
Commerce,2018,53638.34
San Fernando,2018,9378.72
Sherman Oaks,2018,34452.06
Bradbury,2018,394.32
Panorama City,2018,14754.24
Northridge,2018,36289.06
Culver City,2018,53048.15
Lakewood,2018,20308.53
Compton,2018,31267.72
Vernon,2018,40670.4
San Dimas,2018,19817.31
Inglewood,2018,28389.52
Charter Oak,2018,2154.9
Paramount,2018,18933.3
San Pedro,2018,16301.75
Lincoln Heights,2018,12020.54
Boyle Heights,2018,31177.38
Historic South-Central,2018,16286.83
Avalon,2018,1921.91
Westlake,2018,54657.64
Mission Hills,2018,8770.43
Quartz Hill,2018,1366.04
Marina del Rey,2018,5351.69
Bell,2018,12345.87
Long Beach,2018,166487.99
San Gabriel,2018,13131.66
Downey,2018,47715.79
Diamond Bar,2018,21785.28
La Canada Flintridge,2018,5930.22
West Covina,2018,29479.25
Redondo Beach,2018,25762.49
Vermont Square,2018,4720.45
Santa Fe Springs,2018,55853.41
Calabasas,2018,13637.59
Altadena,2018,6336.85
Bell Gardens,2018,9874.94
Sun Valley,2018,24163.05
Playa Vista,2018,15150.94
Carson,2018,66557.86
Hollywood Hills,2018,28894.73
Lancaster,2018,44107.36
Leona Valley,2018,160.18
Whittier,2018,27136.87
Walnut,2018,10568.65
Castaic Canyons,2018,11126.15
Silver Lake,2018,6468.31
Whittier Narrows,2018,4731.26
Glendale,2018,108834.58
West Whittier-Los Nietos,2018,5643.91
Atwater Village,2018,7155.88
East Whittier,2018,1058.3
El Sereno,2018,9802.63
Montecito Heights,2018,1309.65
Florence,2018,6835.39
Huntington Park,2018,13508.4
Cheviot Hills,2018,1801.03
Cypress Park,2018,2822.4
Desert View Highlands,2018,737.64
Baldwin Park,2018,23037.16
Montebello,2018,24401.56
Leimert Park,2018,2388.98
Santa Clarita,2018,63256.49
Elysian Park,2018,4773.75
Wilmington,2018,15164.89
Jefferson Park,2018,2956.23
Downtown,2018,328990.37
Encino,2018,30080.03
West Adams,2018,4542.32
Hawaiian Gardens,2018,2059.47
Agoura Hills,2018,12657.21
Baldwin Hills/Crenshaw,2018,7290.35
Lake View Terrace,2018,2460.23
Adams-Normandie,2018,1754.53
El Monte,2018,34530.08
Rancho Dominguez,2018,14115.57
Acton,2018,609.2
Studio City,2018,29695.29
La Puente,2018,4568.22
North Hollywood,2018,21381.19
Rosemead,2018,16240.99
San Marino,2018,3821.67
East San Gabriel,2018,4000.4
South Park,2018,2574.33
Burbank,2018,213053.26
Woodland Hills,2018,62004.4
Angeles Crest,2018,1082.15
East Compton,2018,811.65
Chatsworth,2018,37030.46
Mayflower Village,2018,2113.32
Koreatown,2018,43347.56
South Gate,2018,20827.68
Elysian Valley,2018,1333.04
Claremont,2018,11503.54
Avocado Heights,2018,5999.72
South San Gabriel,2018,2485.79
Northwest Antelope Valley,2018,1703.04
Echo Park,2018,8005.72
Lynwood,2018,11955.32
Unincorporated Santa Susana Mountains,2018,15807.25
Shadow Hills,2018,5739.48
La Habra Heights,2018,1454.47
Covina,2018,21712.27
Northwest Palmdale,2018,1419.06
Sawtelle,2018,34996.7
Rancho Park,2018,3159.14
East Los Angeles,2018,21486.22
Beverlywood,2018,1986.13
Bellflower,2018,18679.51
Azusa,2018,14202.16
Del Rey,2018,9585.89
Mid-Wilshire,2018,40293.27
North Whittier,2018,5397.98
Beverly Crest,2018,1784.49
Cerritos,2018,40752.29
West Hills,2018,10691.14
Vincent,2018,2323.47
Sun Village,2018,413.89
Playa del Rey,2018,12060.39
Valinda,2018,2119.06
Tujunga,2018,4660.33
Exposition Park,2018,3650.91
Eagle Rock,2018,9681.46
Harbor City,2018,7502.01
Southeast Antelope Valley,2018,1336.62
Reseda,2018,12777.42
Willowbrook,2018,8387.53
Highland Park,2018,6225.01
Temple City,2018,7594.14
Westlake Village,2018,5689.05
Pico-Robertson,2018,5386.46
Monrovia,2018,17900.48
Broadway-Manchester,2018,1877.93
Sunland,2018,1917.01
Agua Dulce,2018,653.69
Malibu,2018,4139.26
Topanga,2018,1199.09
Northeast Antelope Valley,2018,3722.13
Arleta,2018,2900.77
Van Nuys,2018,49337.12
Mar Vista,2018,4634
Valley Glen,2018,12174.82
Arcadia,2018,28026.96
Windsor Square,2018,4518.11
West Puente Valley,2018,3423.91
Central-Alameda,2018,8251.71
Arlington Heights,2018,3044.11
Harvard Heights,2018,2939.34
Harvard Park,2018,1267.76
East Hollywood,2018,26685.46
Lennox,2018,2323.34
Larchmont,2018,1471.39
Tarzana,2018,15825.8
Rolling Hills,2018,713.9
Mid-City,2018,13103.51
Westchester,2018,81474.23
Manchester Square,2018,1069.39
Rowland Heights,2018,15380.44
Ridge Route,2018,971.01
South San Jose Hills,2018,1952.38
Vermont-Slauson,2018,3026.33
Athens,2018,1982.83
Mount Washington,2018,1523.01
West Compton,2018,9339.4
Los Feliz,2018,9146.09
Chinatown,2018,8354.01
Century City,2018,58704.19
Florence-Firestone,2018,8055.72
University Park,2018,9521.69
Hollywood Hills West,2018,2684.58
Unincorporated Santa Monica Mountains,2018,18770.76
West Los Angeles,2018,19500.94
Hancock Park,2018,8974.05
Canoga Park,2018,21329.31
Chesterfield Square,2018,1532.09
Hidden Hills,2018,1199.61
Norwalk,2018,27178.04
North El Monte,2018,999.85
Monterey Park,2018,29067.23
Hollywood,2018,61533.87
Fairfax,2018,12384.19
Glassell Park,2018,6237.79
Watts,2018,3329.73
La Verne,2018,12000.65
Rancho Palos Verdes,2018,7633.55
Green Meadows,2018,2767.29
Del Aire,2018,3513.43
Vermont Knolls,2018,1949.29
Castaic,2018,1223.59
Westwood,2018,67415.89
Venice,2018,15953.6
South Diamond Bar,2018,1156.85
Universal City,2018,1926.46
Pacific Palisades,2018,5869.11
Bel-Air,2018,3143.89
East Pasadena,2018,3074.26
Cudahy,2018,3524.92
Palos Verdes Estates,2018,2547.89
Ladera Heights,2018,19158.05
Walnut Park,2018,1007.35
La Crescenta-Montrose,2018,3231.5
Gardena,2018,25859.65
Duarte,2018,13151.2
La Mirada,2018,19949.37
Maywood,2018,4910.31
Alondra Park,2018,2655.4
Beverly Grove,2018,32769.29
Vermont Vista,2018,2040.49
Lawndale,2018,6156.39
Hyde Park,2018,5339.51
Lomita,2018,3700.91
South Pasadena,2018,7634.4
Westmont,2018,2296.87
San Pasqual,2018,184.27
West Hollywood,2018,31886.8
Artesia,2018,5889.89
Manhattan Beach,2018,19523.76
West Carson,2018,6298.8
Hermosa Beach,2018,6999.74
Carthay,2018,7417.29
Beverly Hills,2018,55541.04
El Segundo,2018,71171.67
View Park-Windsor Hills,2018,1579.83
Sierra Madre,2018,2845.69
Gramercy Park,2018,1331.15
