OBJECTID,SRA,HAZ_CODE,HAZ_CLASS,INCORP,VH_REC,ShapeSTArea,ShapeSTLength
1,SRA,1,Moderate, , ,1171924.96679688,10152.5335365725
2,SRA,1,Moderate, , ,6370045.07519531,16677.8347990302
3,SRA,1,Moderate, , ,15271665.4882812,76329.243888481
4,SRA,1,Moderate, , ,1790196.74023438,18640.8159252512
5,SRA,1,Moderate, , ,1164026.07128906,10179.0227966222
6,SRA,1,Moderate, , ,1444507.21191406,13790.9028044905
7,SRA,1,Moderate, , ,1141753.76464844,9711.80979862416
8,SRA,1,Moderate, , ,1275924.28710938,9901.56225313837
9,SRA,1,Moderate, , ,6733317.90136719,45974.5677990651
10,SRA,1,Moderate, , ,13239998.2216797,22571.5639969384
11,SRA,1,Moderate, , ,1399128.79980469,6203.99712414117
12,SRA,1,Moderate, , ,10288136.8730469,17880.8508179603
13,SRA,1,Moderate, , ,2397765.3359375,21667.7634682516
14,SRA,1,Moderate, , ,247453.418945312,2575.17298618395
15,SRA,1,Moderate, , ,3133949.02734375,16333.9223622998
16,SRA,1,Moderate, , ,3628027.18457031,15590.5608072871
17,SRA,1,Moderate, , ,1407813.90527344,7060.18829750633
18,SRA,1,Moderate, , ,1112254.15820312,5554.86312641798
19,SRA,1,Moderate, , ,1887184.390625,12444.7273846396
20,SRA,1,Moderate, , ,525424.360351562,4506.61010029103
21,SRA,1,Moderate, , ,1007393.41015625,6935.40982756085
22,SRA,1,Moderate, , ,273815.014648438,5661.1460198423
23,SRA,1,Moderate, , ,27769186.8759766,29364.2364394551
24,SRA,1,Moderate, , ,80680.158203125,5384.16305298543
25,SRA,1,Moderate, , ,15854934.2929688,29633.5716502523
26,SRA,1,Moderate, , ,423941.897460938,2649.43960214063
27,SRA,1,Moderate, , ,620142.788085938,4059.97849790952
28,SRA,1,Moderate, , ,4845910.81054688,20651.6654552273
29,SRA,1,Moderate, , ,1251807.43359375,9847.84981361264
30,SRA,1,Moderate, , ,65069621.09375,40157.1596328833
31,SRA,1,Moderate, , ,305048.879882812,4465.93470590061
32,SRA,1,Moderate, , ,428058.859375,6854.59046696959
33,SRA,1,Moderate, , ,4029815.93261719,13132.2563053809
34,SRA,1,Moderate, , ,29659890.8994141,35090.106670383
35,SRA,1,Moderate, , ,6461825.85644531,19504.0690248142
36,SRA,1,Moderate, , ,15704466.3271484,27097.5978015861
37,SRA,1,Moderate, , ,4057477.41113281,8410.39117242845
38,SRA,2,High, , ,1921470.171875,7848.98738442223
39,SRA,2,High, , ,2677117.4140625,12343.8647116934
40,SRA,2,High, , ,15143958.0654297,19522.596746972
41,SRA,2,High, , ,1673808.80078125,9560.91170949324
42,SRA,2,High, , ,1968038.6640625,15388.8922167979
