,OBJECTID,CITY,fips,cnty_nm,oppcat,geometry,color
0,1,IN,06037101110,Los Angeles,Moderate Resource,"POLYGON ((-118.291044 34.255927, -118.299451 34.255978, -118.302291 34.258697, -118.30091199999998 34.25869, -118.30075299999999 34.259609, -118.30080299999999 34.26327399999999, -118.29791900000001 34.263222, -118.291309 34.262854, -118.28846699999998 34.26282, -118.284913 34.262463, -118.28497999999999 34.255888999999996, -118.28592399999998 34.255894999999995, -118.287333 34.255904, -118.288618 34.25591199999999, -118.291044 34.255927))",#FFFFFF
1,1,IN,06037101122,Los Angeles,High Resource,"POLYGON ((-118.277422 34.259903, -118.278167 34.255767999999996, -118.28497999999999 34.255888999999996, -118.284913 34.262463, -118.28846699999998 34.26282, -118.291309 34.262854, -118.29791900000001 34.263222, -118.297917 34.266849, -118.297322 34.267855, -118.30275299999998 34.272000999999996, -118.30330599999998 34.273461999999995, -118.29969599999998 34.275262, -118.29974899999999 34.27670599999999, -118.29697 34.278807, -118.289899 34.278946, -118.29022499999999 34.271, -118.285616 34.270541, -118.285271 34.266434, -118.278953 34.266541, -118.27948299999998 34.26363, -118.27728499999999 34.26363, -118.27728499999999 34.261956, -118.277422 34.259903))",#60DAE6
2,1,IN,06037101210,Los Angeles,Moderate Resource,"POLYGON ((-118.28968 34.249081, -118.28999799999998 34.24927999999999, -118.290104 34.24936399999999, -118.29469600000002 34.252336, -118.29791900000001 34.254511, -118.299451 34.255978, -118.291044 34.255927, -118.288618 34.25591199999999, -118.287333 34.255904, -118.28592399999998 34.255894999999995, -118.28592499999999 34.252274, -118.28592399999998 34.250068, -118.28592399999998 34.248018, -118.28861999999998 34.248613999999996, -118.28968 34.249081))",#FFFFFF
3,1,IN,06037101220,Los Angeles,Moderate Resource,"POLYGON ((-118.27712299999999 34.248673999999994, -118.276103 34.246483999999995, -118.279448 34.247566, -118.27974999999999 34.247662999999996, -118.28179200000001 34.24778, -118.28592399999998 34.248018, -118.28592399999998 34.250068, -118.28592499999999 34.252274, -118.28592399999998 34.255894999999995, -118.28497999999999 34.255888999999996, -118.278167 34.255767999999996, -118.278224 34.253291, -118.27691599999999 34.253084, -118.276915 34.251582, -118.278224 34.251657, -118.278224 34.250679, -118.27819199999999 34.25064, -118.27806799999999 34.250624, -118.278025 34.250578, -118.27802199999998 34.249612, -118.27712299999999 34.248673999999994))",#FFFFFF
4,1,IN,06037101300,Los Angeles,High Resource,"POLYGON ((-118.2652766471924 34.252384541839724, -118.26530497097538 34.2506411831622, -118.26530748760213 34.25040541890051, -118.2666690310699 34.250778187155674, -118.2666845794095 34.25078400083989, -118.26670302371427 34.24777718557298, -118.26657902723319 34.24777657831141, -118.26601204225217 34.24397934701929, -118.26601115125827 34.24394144852968, -118.26603614781395 34.2403635388408, -118.266733 34.240795999999996, -118.26673301970564 34.240793308491455, -118.26674515945429 34.24080084657374, -118.26674632879269 34.240630027676836, -118.26674972754955 34.24042650703706, -118.26677868370456 34.236289596468325, -118.26677813686526 34.23623770177816, -118.26678651883552 34.2350484438273, -118.26678872272417 34.23487838624017, -118.26679072119744 34.23459887568054, -118.26679182421309 34.234482765602266, -118.26679625970328 34.233868062076496, -118.26680215804741 34.2330386126553, -118.26680505862154 34.23265760451586, -118.26681535299554 34.23123781001441, -118.268812 34.23169199999999, -118.27247299999998 34.232527, -118.27193599999998 34.233067, -118.27120199999999 34.233243, -118.270685 34.23299499999999, -118.27059299999999 34.23321, -118.27055899999999 34.233720999999996, -118.27061000000002 34.233868, -118.27047400000001 34.236937, -118.273615 34.241304, -118.273907 34.242917999999996, -118.276295 34.245152, -118.27644199999999 34.245568, -118.276103 34.246483999999995, -118.27712299999999 34.248673999999994, -118.27802199999998 34.249612, -118.278025 34.250578, -118.27806799999999 34.250624, -118.27819199999999 34.25064, -118.278224 34.250679, -118.278224 34.251657, -118.276915 34.251582, -118.27691599999999 34.253084, -118.278224 34.253291, -118.278167 34.255767999999996, -118.277422 34.259903, -118.27728499999999 34.259906, -118.26529 34.259954, -118.26526401505183 34.252384384717665, -118.2652766471924 34.252384541839724))",#60DAE6
5,1,IN,06037101400,Los Angeles,Moderate Resource,"POLYGON ((-118.30264 34.253253, -118.300253 34.252869, -118.30025400000001 34.255983, -118.299451 34.255978, -118.29791900000001 34.254511, -118.29469600000002 34.252336, -118.290104 34.24936399999999, -118.28999799999998 34.24927999999999, -118.28968 34.249081, -118.28861999999998 34.248613999999996, -118.28592399999998 34.248018, -118.28179200000001 34.24778, -118.27974999999999 34.247662999999996, -118.279448 34.247566, -118.276103 34.246483999999995, -118.27644199999999 34.245568, -118.276295 34.245152, -118.273907 34.242917999999996, -118.273615 34.241304, -118.27047400000001 34.236937, -118.27061000000002 34.233868, -118.27055899999999 34.233720999999996, -118.27059299999999 34.23321, -118.270685 34.23299499999999, -118.27120199999999 34.233243, -118.27193599999998 34.233067, -118.27247299999998 34.232527, -118.27924999999998 34.234080999999996, -118.28605999999999 34.234235999999996, -118.290771 34.234821, -118.29884099999998 34.234708999999995, -118.30343500000001 34.236526999999995, -118.30800399999998 34.239841, -118.31116 34.241378999999995, -118.31624099999999 34.242602, -118.319971 34.244959, -118.32238199999999 34.249631, -118.31671099999998 34.248602, -118.31238400000001 34.248867, -118.30648499999998 34.248318999999995, -118.306236 34.251114, -118.30796 34.252407999999996, -118.307055 34.252404, -118.30703699999998 34.252399999999994, -118.30263199999999 34.252387999999996, -118.30264 34.253253))",#FFFFFF
6,1,IN,06037102103,Los Angeles,Moderate Resource,"POLYGON ((-118.34518899999999 34.223647, -118.35093800000001 34.221154999999996, -118.354267 34.221258999999996, -118.35562299999998 34.220032999999994, -118.355802 34.219923, -118.356402 34.21960699999999, -118.35782399999998 34.220766, -118.35969099999998 34.22155399999999, -118.35921300000001 34.222386, -118.36532600000001 34.22870299999999, -118.36279799999998 34.228665, -118.36258799999999 34.228662, -118.35066299999998 34.228502999999996, -118.34335199999998 34.225874999999995, -118.34518899999999 34.223647))",#FFFFFF
7,1,IN,06037102104,Los Angeles,Moderate Resource,"POLYGON ((-118.33512087406538 34.216721802003605, -118.33484675494655 34.21552168331731, -118.33523051751136 34.21538758087607, -118.33642962680503 34.214573399705955, -118.3360437960119 34.21431425799678, -118.33766952697562 34.21264382867264, -118.33935971030364 34.21130189321698, -118.33957941141394 34.21130548892094, -118.3398184507848 34.21119907754332, -118.33984687948082 34.210127826055185, -118.33994257198138 34.20650760375798, -118.34083152555846 34.20652311541105, -118.34301069942262 34.20656183305933, -118.34508900000002 34.209277, -118.34850099999998 34.212309, -118.350582 34.21410099999999, -118.35186699999998 34.21512, -118.354116 34.217043999999994, -118.35505100000002 34.218067999999995, -118.356402 34.21960699999999, -118.355802 34.219923, -118.35562299999998 34.220032999999994, -118.354267 34.221258999999996, -118.35093800000001 34.221154999999996, -118.34518899999999 34.223647, -118.34335199999998 34.225874999999995, -118.34128799999999 34.224537, -118.338059 34.222274999999996, -118.34391299999999 34.222301, -118.344121 34.216998, -118.34411899999999 34.213834, -118.34115299999999 34.213766, -118.338239 34.216754, -118.33560707091888 34.21767118740705, -118.33512087406538 34.216721802003605))",#FFFFFF
8,1,IN,06037102105,Los Angeles,Moderate Resource,"POLYGON ((-118.34433998194567 34.20658545058432, -118.3487869699015 34.206652736102946, -118.34886658464296 34.206653890414614, -118.3501394499141 34.20667319531749, -118.3503751110612 34.20667616530649, -118.353092 34.208528, -118.353021 34.213961, -118.35293499999999 34.214086, -118.35218700000001 34.214773, -118.352011 34.214963, -118.35186699999998 34.21512, -118.350582 34.21410099999999, -118.34850099999998 34.212309, -118.34508900000002 34.209277, -118.34301069942262 34.20656183305933, -118.34433998194567 34.20658545058432))",#FFFFFF
9,1,IN,06037102107,Los Angeles,Moderate Resource,"POLYGON ((-118.35746899999998 34.247053, -118.35132599999999 34.24733199999999, -118.34842299999998 34.248152999999995, -118.347249 34.249148999999996, -118.344977 34.253116, -118.340813 34.259493, -118.339444 34.260239999999996, -118.329998 34.259676999999996, -118.324561 34.254031, -118.32238199999999 34.249631, -118.319971 34.244959, -118.31624099999999 34.242602, -118.31116 34.241378999999995, -118.30800399999998 34.239841, -118.30343500000001 34.236526999999995, -118.29884099999998 34.234708999999995, -118.290771 34.234821, -118.29203699999998 34.233878, -118.29724899999998 34.23260399999999, -118.299165 34.232613, -118.304507 34.233703999999996, -118.30938499999998 34.233492999999996, -118.31803099999999 34.230466, -118.318046 34.23207899999999, -118.32658599999998 34.232206, -118.33546999999999 34.232026999999995, -118.335235 34.224491, -118.338492 34.223343, -118.338059 34.222274999999996, -118.34128799999999 34.224537, -118.34335199999998 34.225874999999995, -118.35066299999998 34.228502999999996, -118.36258799999999 34.228662, -118.36279799999998 34.228665, -118.36532600000001 34.22870299999999, -118.366475 34.22992, -118.36712299999998 34.234213, -118.36753900000001 34.236965999999995, -118.367582 34.237255, -118.367861 34.239106, -118.36788100000001 34.239298999999995, -118.367856 34.23992, -118.36777 34.240369, -118.36760599999998 34.240853, -118.366787 34.242452, -118.36658999999999 34.242819, -118.36645200000001 34.243021, -118.365892 34.243666999999995, -118.362178 34.245999, -118.35746899999998 34.247053))",#FFFFFF
